,case_open,harsh_acceleration,hbk,ign,lat,lname,lon,osf,panic,spd,tis,fk_asset_id,lic_plate_no
0,False,False,False,B,22.405245,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.055565,False,False,29.0,1527618593,571959,GJ03AT3477
1,False,False,False,B,22.40649,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0562166,False,False,29.0,1527618563,571959,GJ03AT3477
2,False,False,False,B,22.4077866,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0571016,False,False,12.0,1527618533,571959,GJ03AT3477
3,False,False,False,B,22.4094183,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0588883,False,False,17.0,1527618503,571959,GJ03AT3477
4,False,False,False,B,22.4108416,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0605583,False,False,49.0,1527618473,571959,GJ03AT3477
5,False,False,False,B,22.4125183,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0640166,False,False,46.0,1527618443,571959,GJ03AT3477
6,False,False,False,B,22.4146133,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0669433,False,False,50.0,1527618413,571959,GJ03AT3477
7,False,False,False,B,22.41706,"GJ SH 27, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.06891,False,False,29.0,1527618383,571959,GJ03AT3477
8,False,False,False,B,22.4190983,"Jamnagar - Samana Rd, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.06941,False,False,30.0,1527618353,571959,GJ03AT3477
9,False,False,False,B,22.4203416,"Jamnagar Bypass Rd, GIDC Phase-2, Dared, Jamnagar, GJ 361006",70.0694199,False,False,14.0,1527618323,571959,GJ03AT3477
10,False,False,False,B,22.42091,"Jamnagar Bypass Rd, Jamnagar, GJ 361110",70.0723633,False,False,49.0,1527618293,571959,GJ03AT3477
11,False,False,False,B,22.4217116,"Jamnagar Bypass Rd, Jamnagar, GJ 361110",70.076365,False,False,50.0,1527618263,571959,GJ03AT3477
12,False,False,False,B,22.4224416,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0801133,False,False,48.0,1527618233,571959,GJ03AT3477
13,False,False,False,B,22.4231549,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0839016,False,False,48.0,1527618203,571959,GJ03AT3477
14,False,False,False,B,22.4238583,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0877166,False,False,46.0,1527618173,571959,GJ03AT3477
15,False,False,False,B,22.4246549,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0913466,False,False,46.0,1527618143,571959,GJ03AT3477
16,False,False,False,B,22.4261083,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0948283,False,False,48.0,1527618113,571959,GJ03AT3477
17,False,False,False,B,22.4278566,"Jamnagar Bypass Rd, Khimliya, GJ 361110",70.0982416,False,False,49.0,1527618083,571959,GJ03AT3477
